epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7793,1.47063,4.59355,1.37851,0.3357,0.4417,0.37449,0.24556,1.25777,9.14756,1.37334,0,0,0
2,19.2443,1.55386,6.82967,1.3344,0.29189,0.35739,0.33303,0.21654,1.25836,9.00909,1.37247,1.29571e-06,1.29571e-06,1.29571e-06
3,26.7867,1.54879,5.15324,1.35993,0.45502,0.34411,0.34317,0.21685,1.25889,8.79042,1.37288,2.58284e-06,2.58284e-06,2.58284e-06
4,35.5421,1.39066,5.41683,1.37676,0.45405,0.33847,0.34317,0.21534,1.25814,8.4677,1.3706,3.86139e-06,3.86139e-06,3.86139e-06
5,43.6407,1.80462,5.85185,1.70606,0.61339,0.34035,0.34132,0.23395,1.25678,8.15476,1.36723,5.13136e-06,5.13136e-06,5.13136e-06
6,52.4275,1.5324,4.49418,1.38326,0.43923,0.33952,0.33719,0.23106,1.25266,7.68571,1.36105,6.39275e-06,6.39275e-06,6.39275e-06
